Name,BSE Code,NSE Code,Industry,Current Price,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months,Market Capitalization,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,224.55,777.49,13.59,57.38,21.7,15.89,0.0,777.49,105.65,2.14,109.59,14.35,95.24,16.46,76.98,20.82,57.38,-1.8,56.16,4.41,53.49,63.75,13.59,7.39,105.65,16.46,14.35,15.89,95.24,56.16,20.12,20.82,2.14,202403.0,701.69,85.79,2.97,88.76,13.8,74.96,17.76,57.2,15.24,41.82,0.0,41.96,2.65,12.23,5.98,11.85,738.43,51.8,792.37,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,34.92,94.27,32.23,73.0,30.7,0.0,34.92,32.92,0.1,33.02,0.04,32.98,0.0,32.98,0.75,32.23,0.0,32.23,0.0,0.0,1.52,94.27,92.3,32.92,0.0,0.04,30.7,32.98,32.23,0.58,0.75,0.1,202403.0,-13.48,-15.51,0.0,-15.51,0.04,-15.55,0.0,-15.55,0.03,-15.58,0.0,-15.58,0.0,-115.06,,-14.84,11.94,9.93,73.96,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,1009.4,2920.91,58.37,804.18,14.47,22.41,-0.01,2920.91,1704.85,3.82,1708.63,56.64,1651.99,643.49,1008.54,204.33,804.18,0.04,804.21,592.18,5.14,689.82,58.37,27.53,1704.85,643.49,56.64,22.41,1651.99,804.21,157.92,204.33,3.82,202403.0,2056.65,1290.91,4.89,1295.79,46.31,1249.48,399.2,850.29,192.4,657.88,0.01,657.89,2457.09,62.77,31.99,18.48,2245.61,717.01,36627.84,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1182.0,74.12,44.5,32.1,20.95,38.13,2.86,74.12,32.98,12.53,45.51,1.06,44.45,0.12,44.33,12.23,32.1,0.0,32.1,0.0,29.47,6.5,44.5,43.31,32.98,0.12,1.06,38.13,44.45,32.1,10.84,12.23,12.53,202403.0,61.84,29.14,7.23,36.37,0.86,35.51,0.2,35.31,9.37,25.94,0.0,25.94,1.87,47.12,41.95,34.55,69.24,28.49,1014.49,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.01,61.93,5.17,1.14,25.63,31.67,,61.93,3.2,1.0,4.2,0.29,3.91,2.32,1.59,0.45,1.14,0.0,1.14,0.0,91.12,1.73,5.17,1.84,3.2,2.32,0.29,31.67,3.91,1.14,0.45,0.45,1.0,202303.0,66.82,2.81,0.09,2.9,0.18,2.72,1.18,1.54,0.43,1.11,0.0,1.11,0.0,4.21,1.66,1110.0,,,26.5,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.72,813.88,-1.65,-73.56,-6.65,-17.63,0.0,813.88,-13.4,-233.32,-10.08,27.15,-37.23,10.09,-283.96,14.31,-73.56,-236.64,-298.27,0.0,0.0,576.89,-1.65,-9.04,-13.4,10.09,27.15,-17.63,-37.23,-298.27,14.31,14.31,-233.32,202403.0,729.11,-36.88,73.35,43.06,22.8,20.26,9.29,4.38,3.01,3.01,-6.59,1.37,0.0,-5.06,0.41,0.08,807.3,-226.46,621.54,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37169.5,3926.76,17.98,536.27,33.08,476.05,0.0,3926.76,705.87,67.47,773.34,51.83,721.51,3.2,718.31,182.04,536.27,0.0,536.27,772.0,60.05,358.57,17.98,13.66,705.87,3.2,51.83,476.05,721.51,536.27,181.81,182.04,67.47,202403.0,3733.44,559.79,64.22,623.66,56.12,567.54,7.1,560.79,144.66,415.88,0.35,416.14,957.95,14.99,11.14,369.41,3880.51,498.31,41890.05,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.18,3.56,70.51,1.81,2.94,1.01,0.0,3.56,2.51,0.0,2.51,0.09,2.42,0.0,2.42,0.61,1.81,0.0,1.81,0.0,0.0,0.74,70.51,50.84,2.51,0.0,0.09,1.01,2.42,1.81,0.62,0.61,0.0,202403.0,2.52,2.14,0.0,2.14,0.1,2.04,0.0,2.04,0.51,1.54,0.0,1.54,0.0,84.92,61.11,0.86,3.14,1.72,68.73,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,0.28,60.71,0.17,0.87,0.05,0.0,0.28,0.17,0.0,0.17,0.0,0.17,0.0,0.17,0.0,0.17,0.0,0.17,0.0,0.0,0.02,60.71,60.71,0.17,0.0,0.0,0.05,0.17,0.17,0.0,0.0,0.0,202403.0,0.0,-0.11,-0.05,-0.11,0.0,-0.11,0.0,-0.16,0.0,-0.11,-0.05,-0.16,0.0,,,-0.05,0.28,0.12,5.88,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,515.15,394.57,27.9,54.44,13.35,17.45,-0.04,394.57,110.07,0.16,110.23,9.53,100.7,28.57,72.13,17.69,54.44,0.0,54.44,0.0,0.0,89.5,27.9,13.8,110.07,28.57,9.53,17.45,100.7,54.44,19.53,17.69,0.16,202403.0,338.25,86.56,1.12,87.68,8.79,78.89,20.8,58.09,14.52,43.57,0.0,43.57,0.0,25.59,12.88,14.22,372.3,63.08,1607.41,540776.0_5PAISA
