Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,224.65,17.15,10.14,35.2,17.97,9.98,10.8,10.27,9.05,21.32,9.06,9.68,12.31,35.2,17.97,20.05,48.07,20.05,48.68,0.12,36.19,24.91,68.28,56.31,792.72,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,,32.41,121.08,42.37,-33.33,-82.18,51.34,41.57,123.89,36.18,103.71,71.66,121.08,42.37,79.29,62.19,79.29,62.19,3.62,-2.82,2.22,-2.63,3.6,73.96,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,1007.0,20.86,13.1,29.42,16.51,-0.73,8.78,,,21.88,11.52,,,28.54,,,,,,-5.16,522.53,,1142.5,,36540.75,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1186.85,-31.11,26.06,-34.43,43.69,-6.75,19.86,24.31,12.95,-33.23,41.72,48.71,41.85,-37.29,35.54,54.71,51.35,61.3,55.84,2.94,42.36,22.22,57.19,30.33,1018.66,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.01,,,,,-7.32,-7.32,,,,,,,,,,,,,,,,,,26.5,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.7,10.17,-6.22,,,-1.26,7.7,-2.95,-4.63,5.73,,,,,,,2.81,,6.05,0.0,-4.67,-57.3,-5.36,31.0,621.19,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37169.5,17.5,6.93,53.53,10.67,8.17,5.18,7.53,8.47,43.27,7.43,9.18,19.34,53.53,10.67,12.12,28.59,12.12,28.59,0.0,316.87,276.22,435.62,400.45,41890.05,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.18,36.17,14.11,146.23,86.6,0.54,17.21,40.46,-32.57,128.64,14.24,3.22,-12.13,146.23,86.6,44.75,11.55,44.75,11.55,0.06,1.25,0.55,1.54,2.23,68.73,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.68,,-44.91,26.48,15.56,-100.0,-100.0,,,26.49,15.57,-26.87,7.28,26.48,15.56,-26.66,7.27,-26.66,7.28,0.0,-1.87,-0.72,-1.68,-0.59,5.85,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,514.9,26.58,45.36,54.79,37.26,78.09,53.14,76.24,,34.75,53.53,37.79,,44.76,34.17,32.8,,31.1,,-1.73,23.71,,53.51,,1606.63,540776.0_5PAISA
