Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,225.45,121.37,17.64,0.0,335.31,82.32,39.05,588.44,366.29,0.0,154.06,212.23,12.26,17.4,332.0,189.54,0.0,0.0,17.73,588.44,247.69,5.75,112.83,125.52,5.0,60.3,2.97,62.03,3.53,107.83,179.63,213.47,357.6,7.51,106.23,89.1,80.74,50.93,104.16,124.45,152.01,176.64,202.58,194.99,177.0,795.54,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,4.17,10.5,0.0,42.88,0.0,12.99,59.78,1.48,0.0,1.39,0.08,0.0,24.64,42.26,6.25,0.13,0.0,7.32,59.78,40.18,0.0,0.0,17.16,10.0,3.92,0.0,0.0,1.05,12.99,-6.34,0.09,1.48,0.0,33.05,40.64,-3.03,5.49,0.0,0.0,0.0,0.06,0.16,0.31,0.89,73.96,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,999.1,9471.93,35.89,0.0,3413.84,7636.08,1835.85,15114.36,1129.13,0.0,189.4,939.73,63.86,5947.67,1794.43,2123.91,5947.67,0.0,393.02,15114.36,-329.48,0.0,0.0,328.17,1.0,638.17,0.0,160.63,35.61,6783.67,495.2,879.75,1031.09,39.16,914.37,494.81,,,5076.69,6103.08,,,837.19,336.6,,36254.08,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1194.2,0.85,8.57,0.0,214.48,1.12,0.91,248.1,14.36,0.0,6.56,7.4,0.0,117.31,123.4,17.53,0.0,0.0,0.19,248.1,105.93,0.0,8.43,36.25,10.0,62.15,0.0,3.95,0.75,2.03,101.18,7.79,14.36,0.09,76.41,25.74,17.12,13.43,2.01,6.19,8.69,6.89,5.0,3.97,3.28,1024.98,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.1,13.4,0.36,0.0,3.74,9.54,3.86,28.85,1.21,0.0,0.73,0.48,0.0,0.0,28.37,14.15,0.0,0.0,0.0,28.85,17.01,0.0,15.83,10.23,5.0,0.29,0.86,9.17,0.0,10.4,12.75,0.24,0.69,0.0,,,,,,,,,,,,26.55,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.88,84.48,169.23,0.0,124.21,38.09,61.15,663.99,1086.86,103.01,608.06,251.19,0.0,2.24,334.6,318.46,0.0,0.0,263.07,663.99,73.06,42.63,0.0,156.83,10.0,54.51,4.71,92.87,16.85,99.24,137.02,478.8,1086.86,41.81,736.87,229.93,159.33,-362.55,138.78,518.65,928.62,2646.69,387.71,806.33,806.39,624.23,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37310.0,17.93,11.27,0.0,2358.93,0.0,26.73,3398.54,583.53,0.0,261.12,317.75,12.32,504.8,2351.72,989.97,0.0,0.0,661.05,3398.54,1371.09,17.93,498.01,679.01,10.0,1118.07,4.28,768.97,1.13,26.73,960.24,322.42,583.53,24.57,1306.62,889.71,848.57,365.26,22.88,13.5,9.78,120.94,248.23,269.48,315.16,42048.39,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.18,0.0,3.6,0.0,95.12,0.0,0.0,104.35,0.87,0.0,0.32,0.46,0.0,84.98,0.26,0.07,0.0,0.0,1.83,104.35,0.19,0.0,0.0,0.0,2.0,0.22,0.0,0.0,1.8,0.0,0.11,0.55,0.87,0.0,1.16,0.89,0.0,34.54,0.0,2.37,18.01,54.24,0.74,1.01,1.32,68.73,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,3.62,34.88,0.0,-18.96,0.0,3.71,19.9,0.0,0.0,0.0,0.0,0.0,0.0,19.36,3.97,0.0,0.0,0.0,19.9,19.01,0.0,0.16,0.0,10.0,0.01,0.0,0.0,3.49,3.71,18.92,0.0,0.0,0.0,19.83,28.33,2.59,0.25,3.43,11.87,12.18,12.01,0.0,0.0,0.0,5.88,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,513.0,336.32,31.19,0.0,508.7,169.28,0.0,2047.85,29.79,0.0,14.29,24.86,0.0,1.97,1830.72,1163.39,8.15,0.0,497.23,2047.85,667.33,0.0,0.0,0.03,10.0,1637.36,0.0,0.71,3.06,169.28,429.17,15.5,29.79,0.0,216.64,85.92,76.82,,233.93,92.01,0.0,,7.78,2.18,0.47,1600.69,540776.0_5PAISA
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,378.2,5.17,9.22,0.0,3338.15,0.0,4.2,3645.3,681.02,0.0,294.28,369.3,0.52,642.2,1883.91,307.64,5.0,0.0,584.84,3645.3,1578.78,5.17,0.0,45.31,2.0,1282.82,0.0,28.5,4.61,4.2,1518.51,386.74,681.02,0.34,1367.62,1390.52,346.36,1129.8,0.5,4.33,497.64,495.25,363.5,363.86,382.31,1742.67,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,5.27,28.01,0.0,0.7,0.58,1.58,43.32,1.64,0.0,0.76,0.61,0.0,1.64,42.66,9.49,0.0,0.0,0.0,43.32,33.32,0.0,3.26,21.84,10.0,0.14,0.0,7.47,2.8,2.16,30.19,0.88,1.64,0.0,11.29,7.12,3.8,0.55,0.15,0.3,0.0,4.25,1.1,1.27,0.86,14.66,540615.0___NA__
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,0.36,18.66,0.0,-8.49,1.76,2.22,10.87,1.19,0.0,0.08,3.04,0.35,0.0,6.82,0.54,0.0,0.0,0.0,10.87,6.64,0.0,0.0,0.57,10.0,1.17,0.0,0.06,1.51,3.98,1.73,1.11,1.19,0.35,-0.47,-0.34,8.51,9.3,5.31,6.58,4.92,5.19,0.01,1.25,2.51,112.65,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8531.25,48.98,42.38,0.0,5902.22,0.0,48.98,11001.19,1577.03,0.0,583.08,993.95,59.92,1.56,9547.49,5014.16,0.0,0.0,577.25,11001.19,4553.38,48.98,1560.76,2544.3,2.0,4816.17,477.36,3109.08,21.19,33.09,3067.17,899.17,1375.92,69.25,2162.95,-308.95,2076.4,1477.28,58.24,6.92,600.04,620.11,782.73,893.14,1254.91,180784.34,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.0,21.43,12.67,0.0,37.33,29.48,2.83,156.62,5.09,0.0,2.14,36.22,1.08,0.18,115.98,57.62,0.0,0.0,0.0,156.62,79.79,0.0,50.51,20.96,10.0,10.04,1.46,17.61,1.43,32.31,53.78,2.94,5.09,2.37,45.77,28.1,29.3,29.35,24.83,25.09,35.38,38.67,1.06,1.98,3.85,273.6,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,61.99,10.05,9.41,0.0,5.45,0.0,0.0,39.15,3.64,0.0,3.04,0.56,0.0,4.68,30.49,24.01,0.0,0.03,18.94,39.15,16.53,0.0,14.11,4.82,10.0,4.21,1.61,13.49,0.94,0.0,10.96,0.6,3.64,0.0,17.68,9.19,7.07,,0.0,0.0,0.18,,0.66,1.45,1.87,58.32,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,11.3,6.64,14.11,0.0,19.23,0.07,5.47,134.68,12.87,0.0,5.91,5.85,0.0,0.28,125.26,93.62,0.0,0.0,0.21,134.68,31.64,0.0,1.53,117.57,10.0,0.75,8.0,84.0,3.67,5.54,30.28,6.96,12.87,0.0,5.02,,,,3.47,,,,7.17,,,41.46,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,15.47,4.03,0.0,11.94,16.67,0.0,48.15,13.58,0.0,0.57,8.43,0.0,7.24,29.66,18.12,0.0,1.72,0.0,48.15,14.49,0.0,14.86,9.69,10.0,0.07,1.76,12.76,0.4,16.67,8.39,13.01,13.58,0.0,5.97,,,,9.45,,,,5.15,,,35.31,-1.0_AGUL
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,7.14,5.03,0.0,33.94,9.93,0.0,68.57,69.97,0.0,42.46,38.13,0.0,0.0,29.49,26.69,0.0,0.0,0.0,68.57,8.09,0.0,7.44,16.87,10.0,0.03,0.0,17.25,0.5,9.93,13.35,27.51,69.97,0.0,11.15,9.73,6.1,9.89,10.97,13.27,9.77,15.52,20.95,22.42,17.62,130.54,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.18,16.08,50.5,0.0,0.68,0.88,13.88,71.5,1.57,0.0,0.0,1.37,0.0,0.3,25.26,4.25,0.0,0.0,0.0,71.5,21.01,0.0,23.24,1.24,1.0,0.31,0.0,4.06,50.49,14.76,10.25,1.57,1.57,0.0,1.08,57.87,50.01,0.16,0.09,7.79,0.0,0.01,0.19,0.12,0.01,59.61,540135.0___NA__
A-1 Acid,542012.0,__NA__,Trading,346.0,10.74,11.5,0.0,36.27,11.16,3.01,63.51,28.0,0.0,11.65,13.12,0.26,4.72,43.2,12.42,0.0,0.0,0.53,63.51,38.84,0.0,1.88,31.04,10.0,6.64,3.38,3.01,1.15,14.17,40.95,16.35,28.0,0.08,40.69,31.07,16.66,,16.61,14.71,18.85,,14.17,14.49,11.24,397.91,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1050.0,2753.92,6.6,0.0,912.47,2117.06,46.94,3806.35,90.49,0.0,20.81,79.15,1.88,2729.05,382.9,92.8,166.45,0.0,0.0,3806.35,290.1,0.0,0.0,1.95,10.0,29.93,3.7,6.61,0.66,2164.0,559.65,69.68,90.49,0.0,603.62,921.58,1146.87,489.64,1391.01,1878.13,2002.0,600.28,65.67,66.53,52.15,693.0,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,197.95,176.12,0.0,-143.94,302.01,11.43,682.96,322.61,0.0,249.87,75.39,57.66,35.61,435.66,603.34,0.0,0.0,334.76,682.96,29.29,0.2,0.0,156.19,10.0,2.86,11.75,277.69,17.61,313.44,121.76,72.74,322.61,54.76,376.89,341.21,605.85,768.93,527.09,434.4,1644.99,1409.45,113.58,168.38,342.31,381.65,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,1.33,8.16,0.0,5.28,0.0,1.97,26.78,0.02,0.0,0.0,0.03,0.0,0.0,26.74,13.34,0.0,0.0,0.0,26.78,14.73,0.0,0.0,11.44,10.0,0.13,0.0,11.54,2.45,1.97,14.89,0.02,0.02,0.0,7.17,5.4,,,1.14,0.01,,,0.03,0.05,,48.65,543319.0___NA__
