Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,225.0,212.34,13.64,22.54,46.67,10.8,37.2,26.54,1.14,27.68,3.71,23.97,4.64,19.33,5.66,0.0,13.66,45.87,12.5,6.43,17.64,3.87,29.95,26.39,199.7,190.56,16.05,14.93,23.15,202403.0,11.33,212.16,28.92,20.29,5.74,174.89,22.27,0.4,22.67,3.69,18.98,3.58,15.4,3.89,11.48,0.0,11.5,12.73,6.58,17.64,3.25,793.96,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,18.18,16.96,478.75,417.6,-359.05,306.87,17.69,0.03,17.72,0.01,17.71,0.0,17.71,0.75,0.0,16.96,100.0,97.3,93.29,10.5,16.15,2.33,-3.14,2.79,-2.63,2.34,-3.13,312.25,202403.0,537.93,,,,,16.58,16.03,0.04,16.07,0.01,16.06,0.0,16.06,0.0,16.06,0.0,16.06,96.68,96.86,10.5,15.3,73.96,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,999.6,791.74,242.61,64.2,56.11,42.02,22.24,286.82,259.46,546.28,16.55,529.73,206.84,322.89,80.28,0.0,242.61,81.05,36.23,30.64,35.89,6.76,323.87,353.2,560.63,573.0,185.91,183.58,32.07,202403.0,32.54,759.45,428.39,204.21,5.63,629.79,374.92,40.88,415.8,13.87,401.93,166.9,235.03,42.92,192.11,0.0,192.11,59.53,30.5,35.8,5.36,36272.23,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1209.95,23.0,8.79,27.0,69.36,19.86,23.75,9.88,4.19,14.07,0.3,13.77,0.04,13.73,4.94,0.0,8.79,73.13,42.96,38.22,8.57,10.33,7.79,6.44,19.18,14.28,7.58,7.21,13.18,202403.0,20.2,17.16,7.7,7.39,8.61,17.67,8.87,2.63,11.5,0.32,11.18,0.03,11.15,2.64,8.51,0.0,8.51,50.2,48.16,8.57,10.16,1038.49,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.01,,,,,-7.32,2.7,,,,,,,,,,,,,,,,,,,,,,13.88,202303.0,,,,,,,,,,,,,,,,,,,,,,26.5,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.77,197.04,-47.75,3.45,-104.23,11.63,-2543.85,-37.02,-51.06,-36.24,7.67,-43.91,2.36,-98.11,0.97,-51.84,-99.08,100.0,-18.79,-24.23,169.23,-5.85,34.78,-3.5,210.28,194.38,-154.16,-15.59,63.67,202403.0,11.97,217.64,-4.08,-13.73,-0.81,212.18,-7.65,-1.1,-6.52,7.01,-13.53,2.72,-18.48,10.96,-28.53,-2.23,-29.44,-3.61,-13.45,168.64,-1.74,622.37,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37169.5,1032.72,161.24,4.69,30.8,5.18,28.95,201.67,27.03,228.7,12.72,215.98,0.74,215.24,54.0,0.0,161.24,40.4,19.53,15.61,11.27,143.13,178.12,158.32,975.42,976.85,133.8,116.67,26.1,202403.0,5.27,1028.31,178.44,163.69,145.31,941.77,166.73,13.91,180.64,12.85,167.79,0.76,167.03,42.46,124.57,0.0,124.57,17.7,13.23,11.27,110.58,41890.05,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.18,0.89,0.36,89.36,33.33,41.27,17.53,0.5,0.0,0.5,0.02,0.48,0.0,0.48,0.12,0.0,0.36,100.0,56.18,40.45,3.6,0.2,1.09,0.37,1.31,0.47,0.8,0.26,17.29,202403.0,50.04,0.71,0.51,0.49,0.27,0.89,0.54,0.0,0.54,0.02,0.52,0.0,0.52,0.13,0.39,0.0,0.39,60.67,43.82,3.6,0.22,68.73,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.68,0.0,-0.03,,0.0,,254.55,-0.03,0.0,-0.03,0.0,-0.03,0.0,-0.03,0.0,0.0,-0.03,,,,34.88,-0.01,-0.01,-0.06,0.0,0.0,-0.01,-0.06,254.55,202403.0,,,,,,0.28,0.27,0.0,0.27,0.0,0.27,0.0,0.27,0.0,0.27,0.0,0.27,96.43,96.43,34.88,0.08,5.85,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,515.95,112.86,5.78,24.58,-59.89,16.65,24.95,20.57,0.02,20.59,2.72,17.87,10.26,7.61,1.84,0.0,5.78,100.0,18.23,5.12,31.19,1.85,33.54,25.59,96.9,84.55,19.04,14.54,27.16,202403.0,17.53,99.37,28.8,16.09,5.16,100.26,30.37,0.07,30.44,2.27,28.17,7.99,20.18,5.09,15.09,0.0,15.09,30.29,15.05,30.75,4.84,1609.91,540776.0_5PAISA
