Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,224.75,22.27,173.28,20.54,0.47,21.01,3.7,17.31,4.13,13.18,3.87,9.3,0.0,9.32,11.85,5.38,17.64,2.64,793.08,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,16.03,-4.8,-5.33,0.03,-5.3,0.01,-5.31,0.0,-5.31,0.03,-5.34,0.0,-5.34,,,10.5,-5.09,73.96,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,1006.7,374.92,482.19,272.42,48.33,320.75,12.47,308.28,108.2,200.08,44.67,155.41,0.0,155.41,56.5,32.23,17.74,4.37,36529.86,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1187.0,8.87,18.11,7.46,1.15,8.61,0.21,8.4,0.04,8.36,3.16,5.19,0.0,5.19,41.19,28.66,7.49,7.72,1018.8,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.1,,,,,,,,,,,,,,,,,,26.55,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.77,-7.65,190.46,-17.0,-0.6,-13.43,5.4,-18.83,2.56,-25.56,1.71,-23.38,-4.17,-27.27,-8.93,-12.28,167.94,-1.62,622.37,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37172.75,166.73,986.47,179.51,8.04,187.55,14.1,173.45,5.63,167.82,44.55,123.27,0.0,123.27,18.2,12.5,11.27,109.43,41893.71,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.18,0.54,0.47,0.38,0.0,0.38,0.02,0.36,0.0,0.36,0.09,0.27,0.0,0.27,80.85,57.45,3.6,0.15,68.73,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,0.27,0.0,-0.03,-0.05,-0.03,0.0,-0.03,0.0,-0.08,0.0,-0.03,-0.05,-0.08,,,34.88,-0.02,5.88,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,514.15,30.37,90.59,25.45,0.86,26.31,2.48,23.83,4.63,19.2,4.8,14.41,0.0,14.41,28.09,15.91,29.42,4.7,1604.29,540776.0_5PAISA
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,376.75,65.36,111.6,28.23,-6.61,62.99,14.24,48.75,0.22,7.16,24.73,-8.63,-41.37,-26.1,25.3,-8.49,9.22,-5.16,1735.99,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,-0.35,10.39,-0.57,0.46,-0.11,0.06,-0.17,0.02,-0.19,0.01,-0.21,0.0,-0.21,-5.49,-2.02,10.47,-0.08,14.66,540615.0___NA__
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,0.34,1.08,0.07,0.04,0.11,0.03,0.08,0.0,0.08,0.0,0.08,0.0,0.08,6.48,7.41,15.14,0.05,112.65,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8514.5,417.22,2411.21,285.31,71.97,357.56,27.48,330.08,2.23,327.57,82.68,245.17,-0.28,244.89,11.83,10.17,,11.56,180429.39,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.4,13.27,79.6,10.72,,,,,,,,,,6.81,,,,4.76,275.59,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,61.99,-2.1,23.07,0.58,0.61,1.19,0.0,1.19,0.0,1.19,-2.23,3.42,0.0,3.42,2.51,14.82,9.41,3.64,58.32,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,11.3,-0.03,20.36,-1.13,-0.4,-1.53,0.66,-2.19,0.24,-2.43,-0.5,-1.93,0.0,-1.93,-5.55,-9.48,12.91,-0.53,41.46,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,1.49,35.92,0.08,,,,,,,,,,0.56,,,,1.39,35.31,-1.0_AGUL
