Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,225.65,54.44,34.82,-23.11,-2.86,28.46,20.28,60.3,51.74,63.2,-17.67,-37.97,7.55,12.73,29.94,98.43,168.63,244.48,324.16,152.96,249.75,363.66,463.86,-143.91,-126.05,-89.01,-63.95,9.94,10.74,10.27,796.25,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,-1.76,-1.8,14.08,-8.83,3.49,0.42,3.92,-4.82,-4.82,1.09,3.51,-0.22,0.64,0.42,5.56,-9.06,-15.56,2.87,5.6,-9.02,-15.52,4.52,-21.33,1.87,-7.0,-7.01,1.17,15.78,5.82,73.96,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,999.55,-470.11,-571.18,-1574.38,1977.74,-66.75,509.49,638.17,-1395.49,-1322.51,787.88,555.55,20.92,488.57,725.56,-1054.25,919.5,-246.37,,-863.82,1226.93,307.24,,,-2207.85,-1146.91,-1914.61,838.19,277.42,,36270.41,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1190.0,26.95,26.44,-20.32,-3.63,3.01,59.21,62.15,20.88,22.9,12.42,-5.01,30.31,28.89,59.21,82.39,184.73,188.49,189.71,87.18,191.74,197.25,199.1,-109.4,-108.95,-107.24,-36.34,35.08,3.37,0.43,1021.38,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.1,-2.2,-2.72,0.47,1.03,-0.7,0.99,0.29,-6.03,-5.99,0.02,5.2,-0.78,1.77,0.99,-7.59,,,,-6.96,,,,,,,0.42,,,,26.55,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.77,51.23,62.05,13.57,-25.19,39.61,60.6,54.51,-29.17,80.05,-106.0,-41.2,-67.15,127.75,66.73,-26.96,213.97,432.75,715.42,81.24,328.85,558.62,835.76,1037.77,703.7,700.63,-96.39,690.59,104.72,123.62,622.37,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37310.0,583.4,552.85,-228.8,-127.54,227.06,631.98,1118.07,365.15,424.65,-19.68,-979.52,-574.56,1206.54,634.43,1183.71,1656.21,1900.33,2674.26,1341.7,1872.08,2168.82,2972.02,-868.91,-878.0,-306.16,-291.68,937.15,470.39,744.16,42048.39,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.18,0.12,0.12,0.0,0.0,0.12,0.1,0.22,0.01,0.01,0.0,0.0,0.01,0.09,0.1,0.05,-0.82,-1.6,-14.32,0.05,-0.82,-1.6,-14.21,20.89,22.63,3.39,0.0,0.17,0.16,0.17,68.73,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,0.1,0.1,0.0,-0.1,0.01,0.01,0.01,-0.11,-0.11,0.0,0.1,0.0,0.01,0.01,-1.6,6.81,4.24,-0.53,-1.6,6.81,4.24,-0.53,-3.91,2.91,0.02,0.0,0.0,0.02,0.03,5.88,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,514.3,-91.69,-110.56,-12.54,154.2,49.98,20.93,1637.36,11.68,24.59,-8.06,-85.01,-68.48,89.41,1301.19,-246.3,-495.07,-534.48,,-207.73,-442.53,-478.17,,,1.4,5.63,-32.64,524.28,115.4,81.12,1604.75,540776.0_5PAISA
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,378.2,47.16,41.67,-99.97,21.73,-31.08,126.93,1282.82,51.06,70.71,49.98,18.92,139.62,329.5,1437.56,-35.54,-189.92,-342.21,-738.64,16.07,-84.04,-198.53,-551.58,1050.2,733.1,130.79,24.98,1224.32,1135.1,445.06,1742.67,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,-2.86,-2.86,-0.5,2.97,-0.39,0.53,0.14,-19.03,-18.05,-1.1,19.44,0.28,0.24,0.53,-24.3,-24.87,-31.81,-30.27,-24.16,-24.6,-30.91,-29.16,-1.11,-1.1,-0.35,-0.22,0.85,1.24,2.88,14.66,540615.0___NA__
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,-7.03,-9.36,-2.33,10.09,0.73,0.44,1.17,-1.33,0.07,-1.36,0.0,-1.29,1.73,0.44,-13.39,-13.41,-13.4,-21.86,-9.53,-9.55,-9.54,-18.0,-3.79,-3.82,-3.82,-3.82,0.0,0.02,0.01,112.65,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8531.0,1351.48,1168.4,-3352.01,-269.45,-2269.98,3146.86,4816.17,594.04,741.94,1825.98,-140.15,2427.77,719.09,3149.08,2276.79,3026.72,4023.16,5445.32,2743.61,3728.7,5145.82,6869.06,-3948.2,-3655.78,-3488.82,-3534.25,2206.57,1475.07,1189.16,180779.04,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.0,9.8,-25.68,-39.44,37.87,8.23,1.81,1.81,11.51,15.33,-12.96,-2.9,-0.53,2.34,1.81,-14.66,-24.15,-20.8,-4.81,25.94,17.2,20.78,38.09,-48.45,-48.87,-52.84,-53.73,2.11,4.24,5.8,273.6,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,61.99,-9.62,-9.62,-0.12,10.05,0.31,3.89,4.21,-11.74,-11.73,1.48,0.0,-10.24,14.14,3.89,-18.01,-11.32,-14.13,-29.12,-17.97,-11.31,-14.16,-28.59,3.41,2.35,1.98,1.6,10.51,3.35,6.01,58.32,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,10.91,-0.03,-0.04,-0.93,1.11,0.16,0.59,0.75,-15.64,-15.34,1.6,13.16,-0.58,1.17,0.59,-24.73,,,,-24.56,,,,,,,-0.23,1.83,,,40.03,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,-2.3,-3.45,-4.44,6.72,-0.02,0.09,0.09,-10.87,-2.36,-8.5,10.41,-0.45,0.53,0.09,-12.52,-14.23,,,-2.7,1.12,,,,,-18.42,-13.33,0.07,,,35.31,-1.0_AGUL
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,21.24,3.73,-17.67,-3.55,0.02,0.01,0.03,1.81,10.87,-8.99,-1.9,-0.01,0.03,0.01,4.84,9.21,5.82,13.66,39.12,49.04,53.57,67.79,-62.42,-47.51,-39.69,-34.26,0.02,0.03,1.22,130.54,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.17,-0.62,-0.57,0.05,0.0,-0.57,0.88,0.31,-9.04,-9.04,6.99,0.73,-1.33,2.2,0.88,-20.06,-18.68,-19.07,-68.71,-20.11,-18.73,-18.96,-68.18,-6.39,-5.95,-5.95,-6.23,0.85,0.11,0.35,59.1,540135.0___NA__
