Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,224.9,1.02,24.2,7.8,1.75,5.79,0.77,31.86,18.78,21.41,352.95,1.02,5.79,8.97,0.14,2.16,472.18,7.47,0.39,1.57,7.87,246.38,-9.93,0.06,93.07,4.27,149.89,0.96,1.27,7.87,189.11,14.58,20.14,31.58,70.17,14.58,5.36,58.18,793.61,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,2.12,39.91,2.25,6.76,,0.05,115.06,5.6,9.65,53.38,2.12,,2.25,0.25,0.13,40.26,4.1,0.22,0.93,0.0,111.73,-10.24,0.03,100.0,0.0,297.97,1.0,-3.28,0.0,187.38,-42.02,-1.17,3.2,38.27,-42.02,6.44,4.36,73.96,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,995.0,12.36,-102.75,26.3,0.84,2.57,2.72,-11.28,26.29,25.71,3449.73,12.36,2.57,27.2,-0.06,11.78,674.11,-3.08,2.83,3.81,73.64,202.65,-25.56,0.02,88.76,6.57,125.06,0.93,11.77,73.64,220.16,-76.81,13.73,464.13,-9.08,-76.8,4.67,148.82,36105.31,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1170.0,13.55,36.64,20.72,7.04,370.42,0.72,142.92,3.29,30.16,223.05,13.55,370.42,21.21,0.3,0.03,113.33,12.95,0.0,1.04,0.0,1384.5,6.09,0.06,89.2,7.29,185.33,0.93,2.09,0.0,472.22,37.34,22.23,140.4,123.17,37.26,9.14,114.24,1004.21,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,45.0,0.44,-10.67,9.57,2.0,1.69,,27.47,,,4.1,0.44,1.69,10.28,,11.75,17.49,-16.58,,7.75,0.0,,-48.39,0.02,29.24,13.89,7.14,0.86,,0.0,,-12.27,27.48,,28.35,-12.31,5.0,,27.09,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.62,0.76,-68.99,-64.46,1.05,-3.69,,8.98,-236.55,-7.14,293.44,0.76,-3.69,-17.45,0.28,-0.28,324.25,-1.6,1.18,2.79,0.0,,-47.28,0.1,18.93,42.69,21.06,0.57,0.75,0.0,,12.1,-2.13,,4.32,12.1,3.29,-12.98,619.83,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37300.0,10.71,106.82,52.94,2.38,225.47,7.35,34.92,29.44,9.66,2370.2,10.71,225.47,56.74,0.07,0.03,1701.16,18.09,0.29,1.33,143.96,4456.67,1.04,0.02,80.55,6.46,40.08,0.94,8.98,143.96,4747.23,72.25,24.53,1390.99,1213.35,72.06,23.11,260.71,42037.12,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.0,19.22,4104.0,27.17,3.71,,0.44,5.34,-7.69,0.0,98.72,19.22,,28.18,1.24,0.0,0.65,0.02,0.02,0.87,0.0,37.73,-2.35,0.0,84.97,8.48,109.94,0.92,-33.37,0.0,35.23,570.0,2.93,26.08,0.11,570.08,2.49,190.03,68.41,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,21.0,-11.06,55.82,4.88,,2.23,6789.29,-111.11,-100.0,15.92,21.0,,55.82,0.1,21.29,19.01,-2.74,0.23,1.25,0.0,1.33,-61.39,0.0,49.11,25.22,48.25,0.75,0.35,0.0,2.24,58.98,-1.65,12.84,5.45,58.8,2.78,-196.0,5.88,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,514.3,4.07,-19.54,2.76,1.57,3.52,0.79,169.13,-61.7,12.57,539.89,4.07,3.52,3.02,0.64,6.18,692.19,-10.88,1.54,3.42,0.0,531.93,50.09,0.92,38.65,32.25,42.84,0.68,-1.45,0.0,260.72,-17.5,11.3,87.53,213.89,-17.5,2.37,277.64,1604.75,540776.0_5PAISA
