Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,225.2,44.62,23.16,729846,816052,312746,234.94,90.0,234.94,6.6,2.01,0.18,26.77,182.05,157.72,180.47,157.09,69.23,12.82,12.31,9.09,8.16,134.11,55.29,41.55,203559,28.58,20.15,794.66,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,54.12,114.43,34120,27069,11745,70.44,17.7,145.05,2.3,2.0,8.22,35.33,52.68,40.82,52.11,40.57,88.6,4.33,4.04,3.19,2.91,185.75,41.5,30.34,13416,15.32,24.91,73.96,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,995.85,40.86,49.58,1193124,2871837,5329590,1065.0,442.1,1065.0,177.5,1.6,15.52,26.28,799.41,683.94,792.04,680.97,78.12,36.69,28.14,20.92,16.98,115.42,50.5,,705325,,,36136.15,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1184.5,48.07,25.94,21265,5355,7221,1262.0,410.05,1262.0,4.81,5.66,-0.28,26.85,943.41,787.12,936.17,783.76,62.56,77.58,81.92,81.34,82.28,165.64,22.4,64.5,13985,54.44,64.15,1016.66,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,45.0,,,159500,81000,74000,52.26,42.0,52.26,42.0,2.27,-11.2,,46.2,45.48,46.29,45.5,,0.33,0.67,0.72,0.82,,,,159500,,,27.09,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.52,-14.51,-34.37,2154301,1374227,1711540,63.9,30.25,164.5,1.15,0.16,-1.33,4.62,37.97,41.2,38.03,41.25,48.5,-0.27,-0.29,-0.34,-0.36,8.03,54.17,62.18,2238947,34.41,12.95,618.14,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37310.0,21.56,7.5,9903,6461,7417,39876.1,26628.0,39876.1,464.1,1.37,-3.57,10.24,33711.36,31274.64,33585.12,31219.07,61.62,1496.12,1612.34,1567.82,1585.74,36.25,15.0,9.66,6439,15.4,22.54,42048.39,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.0,29.48,37.35,52715,173461,307633,41.52,18.1,77.55,2.88,-1.02,23.8,26.7,31.49,29.39,31.21,29.3,79.09,1.34,0.93,0.5,0.29,105.29,44.03,34.41,36554,19.71,12.78,68.41,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,0.62,8.0,73418,32989,30856,2.26,1.14,315.0,0.19,4.32,-1.22,-9.5,1.74,1.7,1.74,1.7,40.84,-0.05,-0.04,-0.03,-0.03,22.73,3.76,18.27,43344,-44.1,-22.57,5.88,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,514.3,-4.98,-24.93,56967,66172,30693,759.1,360.05,759.1,90.0,0.25,-1.4,-0.56,527.29,509.22,527.87,509.18,42.05,-3.7,-3.39,-2.35,-2.01,38.37,6.6,18.32,152836,,,1604.75,540776.0_5PAISA
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,378.85,-12.73,-17.89,131152,79388,80274,690.75,220.55,3048.0,39.55,3.2,-5.04,10.57,383.39,377.65,384.05,377.76,47.06,-2.12,-2.0,-4.95,-5.66,50.67,58.96,27.03,241306,28.72,3.53,1745.67,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,-7.59,-49.08,36101,29360,34749,10.7,4.4,159.47,2.93,4.81,1.84,-5.67,5.29,5.99,5.3,6.0,44.59,-0.14,-0.15,-0.14,-0.14,-27.68,2.16,-37.72,1403997,,,14.66,540615.0___NA__
7Seas Enter.,540874.0,__NA__,Computers - Software - Medium / Small,60.36,47.41,90.36,55055,130698,191472,60.36,22.05,60.36,4.43,4.99,33.6,55.29,41.0,33.98,40.33,33.74,77.73,3.27,2.44,1.55,1.12,112.45,77.62,46.57,24347,,,112.65,540874.0___NA__
A B B,500002.0,ABB,Electric Equipment,8522.85,32.05,77.8,565245,418013,408696,9200.0,3847.5,9200.0,203.47,0.38,0.3,2.08,7817.65,6011.75,7790.17,5986.83,55.57,187.82,199.87,225.63,235.08,91.97,68.11,42.95,384577,31.02,23.92,180606.34,500002.0_ABB
A B Infrabuild,-1.0,ABINFRA,Construction,55.0,-13.21,8.67,76250,13333,4000,67.01,25.37,67.01,4.61,-0.72,-2.64,6.13,53.34,42.99,53.25,42.86,53.28,0.33,0.23,0.2,0.17,62.56,81.28,,43953,,,273.6,-1.0_ABINFRA
A B M Internatl.,-1.0,ABMINTLLTD,Trading,61.99,2.35,21.63,6183,458,573,80.75,31.35,213.6,12.0,-1.99,-8.86,3.01,65.93,58.8,66.04,58.76,42.51,0.56,1.11,1.38,1.59,13.96,-2.72,36.49,2425,-4.91,,58.32,-1.0_ABMINTLLTD
A F Enterprises,538351.0,__NA__,Trading,10.91,84.74,119.29,303898,139051,99068,12.0,4.3,776.51,0.91,-2.06,1.83,67.52,8.23,8.44,8.11,8.41,74.37,1.22,1.26,1.12,1.1,47.35,-20.64,25.42,92975,3.53,-30.02,40.03,538351.0___NA__
A G Universal,-1.0,AGUL,Trading,64.4,7.62,-12.29,9385,16000,22000,119.95,34.6,119.95,32.5,4.89,6.23,23.05,57.29,63.26,57.12,63.28,60.79,1.13,0.77,-0.32,-0.68,41.15,,,16410,,,35.31,-1.0_AGUL
A K Spintex,539300.0,__NA__,Textiles - Processing,259.4,57.7,63.85,47928,142404,541933,259.4,103.1,259.4,10.0,19.98,18.24,29.58,167.47,143.58,165.49,142.85,80.23,6.96,4.07,4.78,4.23,101.81,106.79,55.67,13222,17.52,,130.54,539300.0___NA__
A R C Finance,540135.0,__NA__,Finance & Investments,1.17,31.46,13.59,6192381,5016494,4723451,1.36,0.58,6.71,0.02,0.0,-0.85,23.16,1.02,0.92,1.02,0.92,60.7,0.06,0.06,0.06,0.06,85.71,34.58,60.46,2951759,-8.63,,59.1,540135.0___NA__
A-1 Acid,542012.0,__NA__,Trading,346.0,-1.16,-6.2,51750,51638,25059,439.95,294.8,439.95,41.74,-0.55,0.07,-0.19,350.07,354.89,350.16,354.96,49.43,-1.15,-1.33,-1.24,-1.26,-4.66,45.85,45.71,41734,,,397.91,542012.0___NA__
A.K.Capital Serv,530499.0,__NA__,Finance & Investments,1051.0,13.68,37.63,2253,1386,1448,1180.0,491.5,1180.0,15.84,-2.59,0.78,0.53,1005.94,865.95,1002.96,863.81,58.2,21.56,21.48,26.55,27.79,114.26,35.1,28.02,3603,10.34,14.91,693.66,530499.0___NA__
A2Z Infra Engg.,533292.0,A2ZINFRA,Engineering - Turnkey Services,21.67,56.86,63.27,981433,519247,101636,24.62,6.55,500.0,2.82,-1.99,-6.15,20.0,18.39,14.08,18.25,14.0,60.25,1.6,1.72,1.72,1.75,205.0,55.86,12.02,412299,-9.51,0.03,381.65,533292.0_A2ZINFRA
AA Plus Trade,543319.0,__NA__,Trading,20.0,42.34,84.21,32571,24000,8000,24.22,9.11,26.56,5.32,2.04,-0.71,2.08,16.98,13.97,16.87,13.91,58.99,0.61,0.58,0.57,0.57,-6.44,,,120440,,,48.65,543319.0___NA__
