Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,225.65,796.25,13.84,0.57,2.3,10.35,0.34,17.75,44.95,11.34,0.0,19.15,857.32,3.53,100.02,4.1,1.16,0.0,8.0,6.0,1.4,1.57,22492.0,44.95,15.11,58.93,3.52,,87.97,16.19,189.11,103.51,54.44,58.93,99.02,54.32,0.73,0.01,0.0,0.0,83.2,19.27,8.1,15.34,20546.0,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,73.96,2.3,3.54,1.39,64.72,0.08,88.07,64.25,47.01,0.0,23.18,74.21,1.05,50.84,,6.76,,6.0,5.0,0.7,0.93,5943.0,64.25,80.05,179.36,1.78,,379.01,55.17,187.38,179.36,,179.36,,35.75,0.0,0.0,0.0,0.0,18.87,-43.1,-38.53,-62.72,6333.0,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,997.6,36199.65,45.05,1.63,10.36,6.11,2.75,24.47,17.76,3.72,31.3,23.18,45033.41,36.29,96.13,,0.84,0.0,3.0,6.0,0.22,3.81,46512.0,12.2,215.86,41.01,1.78,,-120.92,10.93,220.16,41.01,,41.01,0.0,10.7,63.22,0.74,-0.53,8.34,87.67,13.33,6.0,21.41,42622.0,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1184.5,1016.66,31.66,0.21,4.54,13.89,0.0,16.28,41.29,4.93,0.0,42.74,955.36,0.86,259.88,2.65,6.56,0.0,5.0,3.0,0.32,1.04,9753.0,41.29,28.4,178.51,5.67,,215.59,17.92,472.22,253.38,66.01,178.51,140.89,53.85,2.97,-0.41,0.71,1.89,228.05,19.06,12.77,16.0,10088.0,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.1,26.55,23.3,0.0,,3.59,3.27,33.98,51.67,9.87,0.0,34.11,39.66,0.6,,3.52,0.89,0.0,3.0,2.0,1.95,7.75,1006.0,51.67,16.03,60.29,3.7,,98.54,13.55,,103.37,59.31,60.29,102.39,48.34,0.0,,,0.0,,29.33,4.19,53.37,,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.75,622.03,,0.0,2.12,-8.99,0.29,-15.71,0.0,-5.75,0.0,34.11,652.0,16.93,17.34,,1.05,0.0,4.0,3.0,1.0,2.79,272076.0,0.0,-11.48,70.33,3.7,,8.32,-5.61,,70.33,,70.33,,88.91,0.94,0.21,-0.02,10.15,38.16,2.59,0.31,0.45,280315.0,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37310.0,42048.39,78.43,0.43,17.74,16.99,0.01,24.84,75.0,1.79,0.0,23.87,40948.25,1.13,2104.02,4.43,1.87,0.0,9.0,4.0,1.24,1.33,29198.0,75.0,31.9,63.12,2.87,,23.52,21.23,4747.23,21.18,119.02,63.12,77.08,12.92,3.64,0.08,-0.08,8.44,1729.09,25.29,13.48,18.75,27610.0,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.0,68.41,37.79,0.0,0.69,2.11,0.0,2.2,73.3,3.51,0.0,23.18,68.19,1.8,54.84,,3.71,0.0,5.0,5.0,0.04,0.87,8551.0,73.3,278.46,0.0,1.78,,-3.08,2.32,35.23,0.0,,0.0,,26.69,0.0,0.0,0.0,0.0,36.7,3.07,2.27,2.32,7528.0,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,5.88,34.69,0.0,0.37,0.85,0.23,1.07,9.43,1.84,0.0,41.23,9.49,3.49,4.56,0.0,4.84,,6.0,2.0,0.01,1.25,7278.0,9.43,0.89,0.0,2.96,,24767.86,0.85,2.24,0.0,,0.0,,90.57,0.0,0.0,0.0,0.0,4.52,-0.56,-0.55,-0.69,6424.0,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,514.3,1604.75,29.47,0.0,2.97,2.95,0.62,10.85,32.8,33.61,0.0,17.68,303.71,3.12,173.09,,1.57,0.0,4.0,5.0,0.21,3.42,42465.0,32.8,10.98,0.03,2.85,,-897.33,4.92,260.72,0.03,,0.03,,44.24,22.66,0.29,0.09,0.29,151.22,12.42,2.68,10.6,33164.0,540776.0_5PAISA
63 Moons Tech.,526881.0,63MOONS,Computers - Software - Medium / Small,378.2,1742.67,8.31,0.52,0.53,5.9,0.0,6.49,45.63,51.91,0.0,34.11,465.02,4.61,726.45,,6.12,1.2,8.0,5.0,0.13,1.06,50511.0,45.63,10.95,35.03,3.7,,228.81,5.89,888.42,35.03,,35.03,,49.89,4.35,-2.14,0.0,0.12,676.02,1.99,-2.13,-1.43,47121.0,526881.0_63MOONS
7NR Retail Ltd,540615.0,__NA__,Trading,5.23,14.66,,0.0,0.51,-2.41,0.18,-3.79,10.96,-5.39,0.0,60.14,19.79,2.8,10.25,2.07,4.15,0.0,1.0,2.0,0.25,1.6,43624.0,10.96,-2.9,686.02,5.58,,1042.23,-2.38,,562.3,219.53,686.02,95.81,89.05,0.0,0.0,0.0,0.0,10.65,1.76,0.69,1.18,45615.0,540615.0___NA__
