Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization,join_key
20 Microns,533022.0,20MICRONS,Mining / Minerals / Metals,225.2,3.38,14.98,16.11,60.78,53.22,21.01,2.89,3.49,3.43,3.53,0.0,0.0,1.83,20.14,18.86,19.18,17.75,14.2,15.09,1.9,12.74,12.83,22336.0,4.73,56.42,68.03,52.97,7.3,8.53,8.41,9.12,8.38,8.23,124.03,134.79,123.5,105.34,84.01,0.7,0.0,794.66,533022.0_20MICRONS
21st Cent. Mgmt.,526921.0,21STCENMGM,Finance & Investments,70.44,1.05,-6.55,1.4,48.7,52.02,55.55,,,,,,0.0,0.0,-1.17,-6.0,-0.97,4.67,4.35,-0.85,60.1,,,7783.0,0.0,89.26,-765.87,7.66,-6.34,-2.05,4.82,2.43,3.57,4.69,14.65,20.21,19.16,4.25,51.05,-0.35,-0.15,73.96,526921.0_21STCENMGM
360 ONE,542772.0,360ONE,Finance & Investments,994.55,,17.25,21.97,80.43,85.77,,,4.25,,,0.0,0.0,865.34,13.73,11.58,11.46,11.46,,,9.29,57.85,,35480.0,177.18,47.33,49.95,68.46,4.65,6.02,27.09,29.05,29.05,29.05,10894.33,,,,-109.1,38.31,6.97,36088.98,542772.0_360ONE
3B Blackbio,532067.0,__NA__,Healthcare,1184.5,0.64,34.65,17.98,175.88,42.77,15.78,0.23,0.04,0.12,2.51,0.0,0.0,3.4,22.23,51.94,44.46,33.72,32.79,34.11,-8.68,54.75,48.43,13136.0,10.55,171.51,56.0,289.74,31.57,14.46,13.44,15.49,13.15,10.69,213.76,48.38,22.11,4.79,210.92,1.5,1.8,1016.66,532067.0___NA__
3C IT Solutions,544190.0,__NA__,Computers - Software - Medium / Small,44.1,,,,,,,,,,,,,,27.48,27.48,27.48,27.48,,,,,,,0.0,66.12,,,,,1.51,1.51,1.51,1.51,,,,,64.3,,,26.55,544190.0___NA__
3i Infotech,532628.0,3IINFOLTD,Computers - Software - Medium / Small,36.46,60.38,-0.83,-5.9,4.66,2.42,-6.89,,14.37,7.14,7.03,0.0,0.0,0.0,-2.13,-1.02,3.43,3.16,,3.46,,-1.96,-2.44,309577.0,0.0,60.67,52.93,79.52,-1.23,-3.98,99.56,8.2,8.33,8.32,1204.41,622.41,597.74,443.8,40.42,0.87,-4.68,617.12,532628.0_3IINFOLTD
3M India,523395.0,3MINDIA,Diversified - Large,37310.0,1.13,14.61,18.08,1972.03,1841.77,717.01,3.58,4.12,3.97,3.9,0.0,0.0,345.99,24.53,19.83,23.28,25.03,16.55,15.92,5.48,13.97,14.92,29884.0,124.72,59.74,69.45,70.97,10.58,13.02,78.53,76.48,76.34,81.08,34287.19,27330.09,13030.96,3973.82,31.22,-0.31,0.74,42048.39,523395.0_3MINDIA
3P Land Hold.,516092.0,3PLAND,Finance & Investments,38.0,1.8,2.26,2.19,25.9,16.28,10.67,,,,4.65,0.0,0.0,0.0,2.93,2.73,3.38,4.54,1.63,2.07,42.05,62.14,6.99,7052.0,0.0,0.0,0.0,0.0,2.3,2.12,29.0,29.4,26.07,25.63,15.48,20.16,19.44,12.2,-1.11,0.0,0.0,68.41,516092.0_3PLAND
52 Weeks Enter.,531925.0,__NA__,Entertainment / Electronic Media Software,1.69,3.49,-11.25,-3.65,5.09,4.86,4.57,1.91,0.0,-1.31,,,0.0,0.0,-1.65,-6.92,-5.49,-2.51,-4.37,-8.68,15.69,,,6043.0,0.0,-10503.89,,253.25,-7.53,-2.8,40.8,72.98,17.77,32.8,2.96,4.95,559.13,25.17,50749.48,0.0,0.0,5.88,531925.0___NA__
5Paisa Capital,540776.0,5PAISA,Finance & Investments,514.3,,8.41,9.55,61.17,54.26,,,,0.32,,0.0,0.0,0.0,11.3,9.4,-1.23,-1.23,,4.83,18.22,22.35,,26278.0,0.0,0.05,0.0,11.71,1.39,2.25,39.81,59.94,59.94,59.94,637.13,369.29,,,-954.91,-2.39,0.29,1604.75,540776.0_5PAISA
