join_key,t_1_price
533022.0_20MICRONS,229.42
526921.0_21STCENMGM,72.33
542772.0_360ONE,1025.83
532067.0___NA__,1329.94
544190.0___NA__,45.14
532628.0_3IINFOLTD,32.75
523395.0_3MINDIA,41655.06
516092.0_3PLAND,36.98
531925.0___NA__,1.55
540776.0_5PAISA,489.22
526881.0_63MOONS,441.83
540615.0___NA__,4.88
540874.0___NA__,66.49
500002.0_ABB,9620.43
-1.0_ABINFRA,54.76
-1.0_ABMINTLLTD,55.67
538351.0___NA__,11.03
-1.0_AGUL,64.18
539300.0___NA__,269.6
540135.0___NA__,1.11
542012.0___NA__,363.3
530499.0___NA__,1017.94
533292.0_A2ZINFRA,19.45
543319.0___NA__,20.15
543671.0_AAATECH,105.69
544176.0_AADHARHFC,408.06
530027.0___NA__,6.79
-1.0_AAKASH,13.3
539096.0___NA__,13.08
538812.0___NA__,5.98
524412.0_AAREYDRUGS,43.42
539562.0___NA__,48.81
-1.0_AARON,258.78
542580.0_AARTECH,215.23
524348.0_AARTIDRUGS,551.94
524208.0_AARTIIND,670.89
543748.0_AARTIPHARM,672.34
543210.0_AARTISURF,690.61
514274.0_AARVEEDEN,23.94
-1.0_AARVI,134.39
543346.0___NA__,118.51
511764.0___NA__,42.53
-1.0_AATMAJ,26.26
541988.0_AAVAS,1812.99
539528.0___NA__,328.47
-1.0_ABCOTS,271.38
523204.0_ABAN,66.0
512165.0___NA__,120.1
543712.0_AHL,439.43
531658.0___NA__,27.02
500488.0_ABBOTINDIA,32021.78
513119.0___NA__,90.9
520123.0___NA__,106.04
532057.0___NA__,199.03
538952.0___NA__,2.34
538935.0___NA__,36.9
539544.0___NA__,6.26
-1.0_AILIMITED,63.14
511756.0___NA__,60.46
531161.0___NA__,145.75
-1.0_ABSMARINE,419.78
500410.0_ACC,2934.47
531533.0___NA__,90.08
517494.0___NA__,22.55
543938.0___NA__,397.92
532268.0_ACCELYA,1673.58
-1.0_ACCENTMIC,322.69
-1.0_ACCORD,27.59
-1.0_ACCURACY,12.7
530093.0___NA__,3.35
530669.0___NA__,20.6
-1.0_ACEINTEG,36.22
539661.0___NA__,43.36
531525.0___NA__,255.54
543499.0___NA__,65.0
517356.0___NA__,2.42
530043.0___NA__,323.38
539391.0___NA__,31.57
513149.0___NA__,818.93
532762.0_ACE,1734.5
541144.0___NA__,89.72
511359.0___NA__,80.62
539254.0_ADANIENSOL,926.6
512599.0_ADANIENT,3271.78
541450.0_ADANIGREEN,1636.02
532921.0_ADANIPORTS,1489.8
533096.0_ADANIPOWER,712.32
542066.0_ATGL,931.5
543458.0_AWL,345.74
526711.0___NA__,34.93
523411.0___NA__,2171.46
539506.0___NA__,0.83
541865.0___NA__,14.55
507852.0___NA__,52.44
-1.0_LAWSIKHO,373.06
543309.0___NA__,25.28
519183.0_ADFFOODS,255.61
539189.0___NA__,26.47
532056.0___NA__,23.64
514113.0___NA__,27.17
532974.0_BIRLAMONEY,171.02
543374.0_ABSLAMC,692.86
535755.0_ABFRL,289.4
540691.0_ABCAPITAL,229.63
540146.0___NA__,83.69
513513.0___NA__,8.94
521141.0___NA__,19.95
540205.0___NA__,5324.89
543269.0___NA__,43.99
524604.0___NA__,12.85
530431.0___NA__,147.36
523120.0___NA__,34.59
517041.0_ADORWELD,1544.99
532172.0_ADROITINFO,18.19
543230.0___NA__,1669.78
521048.0___NA__,40.47
534612.0___NA__,36.6
506947.0___NA__,274.51
